"week","area","scores","josh_charlotte","tim_anastasia","ayden_jess","darren_deanne"
1,"Guest bedroom","Darren",7,6,7,9
1,"Guest bedroom","John",7,6,7,9
1,"Guest bedroom","Neale",7,6.5,7.5,9.5
1,"Guest bedroom","Total",21,18.5,21.5,27.5
2,"Main bathroom","John",7.5,8.5,6.5,9
2,"Main bathroom","Shaynna",8.5,8.5,6.5,9
2,"Main bathroom","Neale",8.5,9,6.5,9.5
2,"Main bathroom","Total",24.5,26,21,27.5
3,"Second bedroom","Darren",8.5,9,8,9
3,"Second bedroom","Shaynna",8,9,7,7.5
3,"Second bedroom","Neale",8,9,7.5,9
3,"Second bedroom","Total",24.5,27,22.5,25.5
4,"Laundry,powder room& cellar","Darren",9,9,7.5,9
4,"Laundry,powder room& cellar","Shaynna",9,9,8,9
4,"Laundry,powder room& cellar","Neale",9,9,7.5,9.5
4,"Laundry,powder room& cellar","Total",27,27,23,28.5
5,"Living& dining room","Darren",8,7,7,6.5
5,"Living& dining room","Shaynna",8.5,7,7,5
5,"Living& dining room","Neale",8.5,7,8,6.5
5,"Living& dining room","Total",25,21,22,18
6,"Ensuite","Darren",9.5,7.5,8.5,9
6,"Ensuite","Shaynna",9.5,7.5,8.5,9
6,"Ensuite","Neale",9.5,8,8.5,9.5
6,"Ensuite","Total",28.5,23,25.5,27.5
7,"Master bedroom& walk-in wardrobe","Darren",10,8,7.5,9.5
7,"Master bedroom& walk-in wardrobe","Shaynna",10,8.5,8,9
7,"Master bedroom& walk-in wardrobe","Neale",10,8,9,9.5
7,"Master bedroom& walk-in wardrobe","Total",30,24.5,24.5,28
8,"Kitchen","Darren",7,8,8.5,7
8,"Kitchen","Shaynna",7.5,7.5,8.5,6.5
8,"Kitchen","Neale",8,8,9,7.5
8,"Kitchen","Total",22.5,23.5,26,21
9,"Study & stairs","Darren",6,2,9.5,6
9,"Study & stairs","Shaynna",6,3,9.5,3
9,"Study & stairs","Neale",7,3,10,6
9,"Study & stairs","Total",19,8,29,15
10,"Terrace","Darren",9.5,7.5,8.5,10
10,"Terrace","Shaynna",9.5,7,8,10
10,"Terrace","Neale",9.5,8.5,8.5,10
10,"Terrace","Total",28.5,23,25,30
11,"Overall","Darren",9,7,8.5,9
11,"Overall","Shaynna",9,6.5,8.5,9
11,"Overall","Neale",8.5,6.5,9,9.5
11,"Overall","Buyers",24.5,23,26,27
11,"Overall","Total",51,43,52,54.5
