"week","area","scores","william_karlie","dan_carleen","andy_ben","julia_sasha","chris_kim"
"1","Master Ensuite","Darren",8.5,5,7.5,9,7
"1","Master Ensuite","Shaynna",8.5,5.5,7,8.5,6.5
"1","Master Ensuite","Neale",8,6.5,7,9,6
"1","Master Ensuite","Total",25,17,21.5,26.5,19.5
"2","1st Guest Bedroom & Walk-in-robe","Darren",9,6.5,7.5,8.5,9
"2","1st Guest Bedroom & Walk-in-robe","Shaynna",9,5.5,8,6.5,8.5
"2","1st Guest Bedroom & Walk-in-robe","Neale",9,5.5,8,6.5,9
"2","1st Guest Bedroom & Walk-in-robe","Total",27,17.5,23.5,21.5,26.5
"3","Main Bathroom","Darren",8.5,9.5,6.5,9.5,5
"3","Main Bathroom","Shaynna",9.5,9.5,6.5,9.5,6.5
"3","Main Bathroom","Neale",9,10,6.5,9.5,7.5
"3","Main Bathroom","Total",27,29,19.5,28.5,19
"4","2nd Guest Bedroom & Walk-in-robe","Darren",9.5,9,10,8.5,8.5
"4","2nd Guest Bedroom & Walk-in-robe","Shaynna",8.5,8.5,10,8,8
"4","2nd Guest Bedroom & Walk-in-robe","Neale",8.5,8.5,10,7.5,8
"4","2nd Guest Bedroom & Walk-in-robe","Total",26.5,26,30,24,24.5
"5","Living & Dining Room","Darren",7,8.5,7,8.5,7.5
"5","Living & Dining Room","Shaynna",7,8.5,7.5,8.5,6.5
"5","Living & Dining Room","Neale",6.5,NA,7.5,8.5,7
"5","Living & Dining Room","Total",20.5,26.5,22,25.5,21
"6","Master Bedroom & Walk-in-robe","Darren",8.5,8,8,9.5,9.5
"6","Master Bedroom & Walk-in-robe","Shaynna",8.5,8,8,9.5,9.5
"6","Master Bedroom & Walk-in-robe","Neale",9,8.5,8,9.5,10
"6","Master Bedroom & Walk-in-robe","Total",26,24.5,24,28.5,29
"7","Hallway, Laundry & Powder Room","Darren",9,5,7,6.5,7.5
"7","Hallway, Laundry & Powder Room","Shaynna",9,3,7,5,7
"7","Hallway, Laundry & Powder Room","Neale",9.5,3,7,5,7
"7","Hallway, Laundry & Powder Room","Total",27.5,NA,21,16.5,21.5
"8","Kitchen","Darren",10,10,9.5,9.5,8
"8","Kitchen","Shaynna",10,10,9.5,9,8
"8","Kitchen","Neale",10,10,NA,9.5,8
"8","Kitchen","Total",30,30,29,28,24
"9","Terrace & Re-do Room[e]","Darren",9,9,6,10,9.5
"9","Terrace & Re-do Room[e]","Shaynna",9,7.5,6,9.5,10
"9","Terrace & Re-do Room[e]","Neale",9,9,5,10,10
"9","Terrace & Re-do Room[e]","Total",27,25.5,17,29.5,29.5
"10","Challenge Apartment: Room 1","Darren",8,9,8.5,8,9.5
"10","Challenge Apartment: Room 1","Shaynna",8,9,8.5,8,9.5
"10","Challenge Apartment: Room 1","Neale",8,9.5,9,7,9.5
"10","Challenge Apartment: Room 1","Total",24,27.5,26,23,28.5
"11","Challenge Apartment: Room 2","Darren",9,7,5,10,6
"11","Challenge Apartment: Room 2","Shaynna",8.5,7,5,10,5
"11","Challenge Apartment: Room 2","Neale",8.5,7,6,10,6
"11","Challenge Apartment: Room 2","John",7.5,6,3,10,5
"11","Challenge Apartment: Room 2","Total",33.5,27,19,40,22
