"week","area","scores","jason_sarah","clint_hannah","ronnie_georgia","sticks_wombat","josh_elyse"
"1","Main Bathroom","Darren",8.5,6.5,9,9,9
"1","Main Bathroom","Shaynna",7.5,3,7.5,9,8.5
"1","Main Bathroom","Neale",8,6.5,9,8.5,9.5
"1","Main Bathroom","Total",24,16,25.5,26.5,27
"2","1st Guest Bedroom","Darren",9.5,9.5,9.5,9,9
"2","1st Guest Bedroom","Shaynna",8.5,8.5,9,8.5,9
"2","1st Guest Bedroom","Neale",9,9,9.5,9,9.5
"2","1st Guest Bedroom","Total",27,27,28,26.5,27.5
"3","Kids Bedroom","Darren",8.5,7.5,9.5,8.5,8.5
"3","Kids Bedroom","Shaynna",9,6.5,9.5,8.5,7
"3","Kids Bedroom","Neale",9.5,8,10,8.5,7.5
"3","Kids Bedroom","Total",26,22,29,25.5,23
"4","Teams Choice Room[d]","Darren",8,9.5,7,6,8.5
"4","Teams Choice Room[d]","Shaynna",7,9.5,7,6.5,9
"4","Teams Choice Room[d]","Neale",6,9.5,7,8.5,9
"4","Teams Choice Room[d]","Total",21,28.5,21,21,26.5
"5","Living & Dining Room","Darren",9,7.5,9.5,6.5,9.5
"5","Living & Dining Room","Shaynna",8.5,7.5,10,6.5,9.5
"5","Living & Dining Room","Neale",9,8.5,10,7,10.5
"5","Living & Dining Room","Total",26.5,23.5,29.5,20,29.5
"6","Master Bedroom, Ensuite & Walk-in Robe","Darren",0,8.5,9.5,8,9.5
"6","Master Bedroom, Ensuite & Walk-in Robe","Shaynna",0,8,9,8,9.5
"6","Master Bedroom, Ensuite & Walk-in Robe","Neale",0,8.5,9.5,8,9.5
"6","Master Bedroom, Ensuite & Walk-in Robe","Total",0,25,28,24,28.5
"7","Kitchen","Darren",9.5,9,10,9,10
"7","Kitchen","Shaynna",9.5,8,9,8.5,10
"7","Kitchen","Neale",9.5,9,9,9,10
"7","Kitchen","Total",28.5,26,28,26.5,30
"8","Hallway & Laundry","Darren",9,7,8,8.5,9
"8","Hallway & Laundry","Shaynna",8.5,7,8,9,8.5
"8","Hallway & Laundry","Neale",9,8,8.5,11,9.5
"8","Hallway & Laundry","Total",26.5,22,24.5,28.5,27
"9","2nd Guest Bedroom","Darren",9.5,8.5,10,9.5,10
"9","2nd Guest Bedroom","Shaynna",9.5,8,10,9,10
"9","2nd Guest Bedroom","Neale",9.5,8.5,10,9.5,10
"9","2nd Guest Bedroom","Total",28.5,25,30,28,30
"10","Backyard","Darren",9.5,7,8.5,10,10
"10","Backyard","Shaynna",9,7,8,9,9.5
"10","Backyard","Neale",9.5,8,9,10,10
"10","Backyard","Total",27,22,25.5,29,29.5
"11","Studio & Garage","Darren",8.5,9,10,10,10
"11","Studio & Garage","Shaynna",8,8,9.5,9,9
"11","Studio & Garage","Neale",9.5,10,10,10,10
"11","Studio & Garage","Total",26,27,29.5,29,29
"12","Frontyard","Darren",9.5,8.5,10,10,9.5
"12","Frontyard","Shaynna",9,7.5,7.5,9.5,8.5
"12","Frontyard","Neale",9.5,7.5,8,9,8
"12","Frontyard","Total",28,23.5,25.5,28.5,26
