"week","area_s","scores","kerrie_spence","hans_courtney","hayden_sara","norm_jess","bianca_carla"
"1","Main Bathroom","Darren",7.5,8.5,8,8.5,8.5
"1","Main Bathroom","Shaynna",7,8.5,6.5,8,8.5
"1","Main Bathroom","Neale",8,8.5,7,8,8
"1","Main Bathroom","Total",22.5,25.5,21.5,24.5,25
"2","Guest Bedroom","Darren",8,9,7.5,8.5,9
"2","Guest Bedroom","Shaynna",7.5,8,7.5,8,8.5
"2","Guest Bedroom","Neale",7.5,8.5,7.5,8,8.5
"2","Guest Bedroom","Total",23,25.5,22.5,24.5,26
"3","Master Ensuite","John.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}[c]",8.5,8,7.5,8,8.5
"3","Master Ensuite","Shaynna",9,7.5,7,7,9
"3","Master Ensuite","Neale",9,8.5,7.5,8,9.5
"3","Master Ensuite","Total",NA,24,22,23,27
"4","Master Bedroom and Walk-in Robe","Darren",8.5,8,9,8.5,7.5
"4","Master Bedroom and Walk-in Robe","Shaynna",7.5,7,9,6.5,7.5
"4","Master Bedroom and Walk-in Robe","Neale",8,7,8.5,7.5,7.5
"4","Master Bedroom and Walk-in Robe","Total",24,22,26.5,22.5,22.5
"5","Living and Dining","Darren",8,9,8,9.5,9
"5","Living and Dining","Shaynna",8.5,9.5,7.5,6.5,9
"5","Living and Dining","Neale",8.5,9,7.5,9,9
"5","Living and Dining","Total",25,27.5,23,25,27
"6","Kitchen","Darren",10,8,9.5,9,8.5
"6","Kitchen","Shaynna",10,7.5,9.5,8,8.5
"6","Kitchen","Neale",10,8.5,9.5,9.5,9.5
"6","Kitchen","Total",30,24,28.5,26.5,26.5
"7","Hallway, Laundry & Powder Room","Darren",9.5,8,6.5,8,9.5
"7","Hallway, Laundry & Powder Room","Shaynna",9.5,7.5,5,8,9
"7","Hallway, Laundry & Powder Room","Neale",10,8.5,6.5,9,9
"7","Hallway, Laundry & Powder Room","Total",29,24,18,25,27.5
"8","2nd Guest Bedroom & Re-do Room [f]","Darren",8.5,8,9,9,9.5
"8","2nd Guest Bedroom & Re-do Room [f]","Shaynna",8.5,8,8,9.5,9.5
"8","2nd Guest Bedroom & Re-do Room [f]","Neale",9,9,9,9,9.5
"8","2nd Guest Bedroom & Re-do Room [f]","Total",26,25,26,27.5,28.5
"9","Terrace","Darren",8.5,8.5,9.5,10,9.5
"9","Terrace","Shaynna",8,7.5,9.5,10,9.5
"9","Terrace","Neale",8.5,7.5,9.5,10,10
"9","Terrace","Total",25,23.5,28.5,30,29
"10","Challenge Apartment: Week 1","Darren",7,9.5,8.5,6.5,8
"10","Challenge Apartment: Week 1","Shaynna",6.5,9.5,9.5,6.5,8
"10","Challenge Apartment: Week 1","Neale",7,9.5,9.5,7,7.5
"10","Challenge Apartment: Week 1","Total",20.5,28.5,27.5,20,23.5
"11","Challenge Apartment: Week 2","Darren",9.5,9.5,9,9,7
"11","Challenge Apartment: Week 2","Shaynna",9.5,9.5,9,9,7.5
"11","Challenge Apartment: Week 2","Neale",9.5,10,9,8.5,7
"11","Challenge Apartment: Week 2","Total",28.5,29,27,26.5,21.5
