"week","area","scores","mitch_mark","tess_luke","andy_deb","elise_matt","jesse_mel"
"1","Guest Bedroom","Darren",8,6,6,7.5,8.5
"1","Guest Bedroom","Shaynna",8,6,6,7,8
"1","Guest Bedroom","Neale",8,5.5,5.5,6.5,9
"1","Guest Bedroom","Total",24,17.5,17.5,21,25.5
"1","Guest Ensuite","Darren",9.5,7,9.5,8,6
"1","Guest Ensuite","Shaynna",9,7,9,7.5,5
"1","Guest Ensuite","Neale",9,6,9.5,6.5,3
"1","Guest Ensuite","Total",27.5,20,28,22,14
"2","Formal Lounge","Darren",9.5,7,8.5,9.5,8.5
"2","Formal Lounge","Shaynna",9.5,7.5,8.5,9.5,7.5
"2","Formal Lounge","Neale",9.5,7.5,8.5,10,7
"2","Formal Lounge","Total",28.5,22,25.5,29,23
"3","Master Bedroom & Walk-in-Robe","Darren",9,8.5,8.5,9,7.5
"3","Master Bedroom & Walk-in-Robe","Shaynna",9,8,8,8.5,7.5
"3","Master Bedroom & Walk-in-Robe","Neale",9,8,8,8.5,7
"3","Master Bedroom & Walk-in-Robe","Total",27,24.5,24.5,26,22
"4","Main Bathroom","Darren",9,9.5,7.5,9,9
"4","Main Bathroom","Shaynna",8,9.5,7.5,9,7.5
"4","Main Bathroom","Neale",7.5,9,7.5,8.5,7.5
"4","Main Bathroom","Total",24.5,28,22.5,26.5,24
"5","2nd Guest Bedroom","Darren",9,10,9.5,10,9.5
"5","2nd Guest Bedroom","Shaynna",9,9,9.5,9.5,9
"5","2nd Guest Bedroom","Neale",9,9.5,9.5,9.5,10
"5","2nd Guest Bedroom","Total",27,28.5,29.5,29,28.5
"6","Master Bathroom","Darren",9.5,9,9.5,9,10
"6","Master Bathroom","Shaynna",9.5,9.5,9,8,9
"6","Master Bathroom","Neale",10,9,10,9,9.5
"6","Master Bathroom","Total",29,27.5,28.5,26,28.5
"7","Kitchen","Darren",9,9,9.5,8,9.5
"7","Kitchen","Shaynna",8.5,9.5,10,7.5,9.5
"7","Kitchen","Neale",8.5,9,10,8,9.5
"7","Kitchen","Total",26,27.5,29.5,23.5,28.5
"8","Living & Dining","Darren",7,7,9.5,7.5,10
"8","Living & Dining","Shaynna",7,7,9,8,9.5
"8","Living & Dining","Neale",8,8,9.5,9,9.5
"8","Living & Dining","Total",22,22,28,24.5,29
"9","Courtyard","Darren",10,8.5,9,8.5,9.5
"9","Courtyard","Shaynna",9.5,7.5,9,8.5,10
"9","Courtyard","Neale",9.5,8.5,8,9,10
"9","Courtyard","Total",29,24.5,26,26,29.5
"10","Studio","Darren",9,9.5,9,9,9.5
"10","Studio","Shaynna",9.5,9,9,9,9.5
"10","Studio","Neale",10,9.5,10,9.5,9.5
"10","Studio","Total",28.5,29,28,27.5,28.5
"11","Verandas","Darren",10,7.5,7,8,5
"11","Verandas","Shaynna",10,7.5,6.5,6.5,6.5
"11","Verandas","Neale",10,8.5,7,6,5
"11","Verandas","Total",30,23.5,20.5,20.5,16.5
"12","Hallways/Media Room","Darren",8.5,6.5,7.5,7,8.5
"12","Hallways/Media Room","Shaynna",8.5,7,7.5,7,8.5
"12","Hallways/Media Room","Neale",9,7,8,7,8.5
"12","Hallways/Media Room","Total",26,20.5,23,21,25.5
"13","Rooftop Terrace/Garage/Re-do room","Darren",7.5,9,9.5,9.5,8
"13","Rooftop Terrace/Garage/Re-do room","Shaynna",7.5,9,9.5,10,8
"13","Rooftop Terrace/Garage/Re-do room","Neale",7,9,10,10,8
"13","Rooftop Terrace/Garage/Re-do room","Total",22,27,29,30.5,24
"14","Front Garden/Veranda","Darren",7,9.5,9.5,9.5,8
"14","Front Garden/Veranda","Shaynna",7,8.5,9.5,10,7.5
"14","Front Garden/Veranda","Neale",7,8.5,9,10,7
"14","Front Garden/Veranda","Total",21,26.5,28,29.5,22.5
