"week","area_s","scores","ronnie_georgia","mitch_mark","tanya_vito","josh_luke","kirsty_jesse"
"1","Guest Bedroom","Darren",8,8,7.5,8.5,8.5
"1","Guest Bedroom","Shaynna",8.5,7.5,8,8,7
"1","Guest Bedroom","Neale",8,7,7.5,7.5,7.5
"1","Guest Bedroom","Total",24.5,22.5,23,24,23
"2","Guest Ensuite","Darren",9,9.5,8.5,7,8
"2","Guest Ensuite","Shaynna",8.5,9,8,7,8
"2","Guest Ensuite","Neale",9,9.5,8,6.5,8
"2","Guest Ensuite","Total",26.5,28,24.5,20.5,24
"3","Master Bedroom & Walk-in-Robe","Darren",8,9,9,9,8
"3","Master Bedroom & Walk-in-Robe","Shaynna",7.5,9,8,9,7.5
"3","Master Bedroom & Walk-in-Robe","Neale",8,8.5,7,9,7.5
"3","Master Bedroom & Walk-in-Robe","Total",23.5,26.5,24,27,23
"4","Basement","Darren",9.5,9,9,7,9.5
"4","Basement","Shaynna",9.5,10,9,7,9.5
"4","Basement","Neale",9.5,9.5,NA,NA,10
"4","Basement","Total",28.5,28.5,25.5,19,29
"5","Master Ensuite","Darren",9,7.5,7.5,9,8.5
"5","Master Ensuite","Shaynna",9,7,7.5,9.5,8.5
"5","Master Ensuite","Neale",NA,7.5,7.5,10,9
"5","Master Ensuite","Total",29,22,22.5,28.5,26
"6","Guest Bedroom & Redo Room","Darren",9.5,9.5,9.5,6.5,9.5
"6","Guest Bedroom & Redo Room","Shaynna",10,9,8.5,7,9.5
"6","Guest Bedroom & Redo Room","Neale",9.5,9.5,9,6.5,9.5
"6","Guest Bedroom & Redo Room","Total",29,28,27,20,28.5
"7","Kitchen","Darren",9,7.5,8.5,9,9.5
"7","Kitchen","Shaynna",9,7.5,8,9,10
"7","Kitchen","Neale",9,7.5,9,8.5,10
"7","Kitchen","Total",27,22.5,25.5,26.5,29.5
"8","Living & Dining","Darren",9.5,8.5,9.5,7,9.5
"8","Living & Dining","Shaynna",9.5,8,10,7.5,9.5
"8","Living & Dining","Neale",NA,8.5,10,8,10
"8","Living & Dining","Total",29.5,25,29.5,22.5,29
"9","Hallway, Laundry & Powder Room","Darren",9.5,9,8.5,6,9.5
"9","Hallway, Laundry & Powder Room","Shaynna",10,8.5,8.5,6.5,10
"9","Hallway, Laundry & Powder Room","Neale",9.5,9,8,6,10
"9","Hallway, Laundry & Powder Room","Total",29,26.5,25,18.5,29.5
"10","Backyard","Darren",9.5,9,7.5,9,9.5
"10","Backyard","Shaynna",9.5,9.5,7.5,9.5,9.5
"10","Backyard","Neale",9,9.5,7.5,9.5,NA
"10","Backyard","Total",28,28,22.5,28,29.5
"11","Garage, Study & Wine Cellar","Darren",9,8.5,6.5,3,8.5
"11","Garage, Study & Wine Cellar","Shaynna",9,8,6.5,3,9
"11","Garage, Study & Wine Cellar","Neale",9,7,6.5,2,9
"11","Garage, Study & Wine Cellar","Total",27,23.5,19.5,8,26.5
"12","Front Garden & Facade","Darren",9,9.5,8,8,9
"12","Front Garden & Facade","Shaynna",9,10,8,8,9.5
"12","Front Garden & Facade","Neale",9,10,8,8.5,10
"12","Front Garden & Facade","Total",27,29.5,24,24.5,28.5
