"week","area_s","scores","tom_sarah_jane","rachel_ryan","ankur_sharon","dylan_jenny","omar_oz"
"1","Main Bathroom","Darren",8.5,8.5,7.5,9,9
"1","Main Bathroom","Shaynna",8.5,8,6.5,8.5,8
"1","Main Bathroom","Neale",8.5,7,6.5,8,9
"1","Main Bathroom","Total",25.5,23.5,20.5,25.5,26
"2","Guest Bedroom","Darren",8,8.5,9,9,8
"2","Guest Bedroom","Shaynna",7.5,8,8.5,9,7.5
"2","Guest Bedroom","Neale",8,8,8.5,8.5,8
"2","Guest Bedroom","Total",23.5,24.5,27,26.5,23.5
"3","Master Ensuite","Darren",9,9,9,8,9
"3","Master Ensuite","Shaynna",8.5,7.5,8.5,7.5,9
"3","Master Ensuite","Neale",8.5,7,9.5,8,9.5
"3","Master Ensuite","Total",26,23.5,27,23.5,27.5
"4","Master Bedroom & Walk-in-Robe","Darren",9,9.5,9,8.5,7.5
"4","Master Bedroom & Walk-in-Robe","Shaynna",9.5,9,9.5,8.5,7.5
"4","Master Bedroom & Walk-in-Robe","Neale",10,9,9.5,8.5,7.5
"4","Master Bedroom & Walk-in-Robe","Total",28.5,27.5,28,25.5,22.5
"5","Guest Bedroom & Bathroom","Darren",9.5,9,7.5,8.5,9.5
"5","Guest Bedroom & Bathroom","Shaynna",9.5,8.5,7.5,8,9.5
"5","Guest Bedroom & Bathroom","Neale",10,8.5,7,8,10
"5","Guest Bedroom & Bathroom","Total",30,26,22,24.5,29
"6","Kitchen","Darren",10,8,8,9.5,9.5
"6","Kitchen","Shaynna",10,8,8,9.5,9.5
"6","Kitchen","Neale",10,8,8.5,9.5,9.5
"6","Kitchen","Total",30,24,24.5,28.5,28.5
"7","Living & Dining Room","Darren",8.5,9.5,6,7.5,9.5
"7","Living & Dining Room","Shaynna",8,10,6,7,9.5
"7","Living & Dining Room","Neale",9,10,7,7.5,9.5
"7","Living & Dining Room","Total",25.5,29.5,19,22,25.5
"8","Hallway, Laundry & Breezeway","Darren",8.5,8.5,8,8.5,7.5
"8","Hallway, Laundry & Breezeway","Shaynna",9,8.5,7,9,6.5
"8","Hallway, Laundry & Breezeway","Neale",9,8,8,9.5,6.5
"8","Hallway, Laundry & Breezeway","Total",26.5,25,23,27,20.5
"9","Kids Bedroom","Darren",9,9.5,9,9.5,7
"9","Kids Bedroom","Shaynna",9.5,9.5,8.5,9.5,7
"9","Kids Bedroom","Neale",9,9.5,9,10,7
"9","Kids Bedroom","Total",27.5,28.5,26.5,29,21
"10","Guest Bedroom & Re-do room","Darren",9.5,9.5,8,9,9
"10","Guest Bedroom & Re-do room","Shaynna",9.5,9.5,8,9,8
"10","Guest Bedroom & Re-do room","Neale",9,9,7.5,9.5,8
"10","Guest Bedroom & Re-do room","Total",28,28,23.5,27.5,25
"11","Working from home space","Alisa",8.5,8,6.5,7.5,8
"11","Working from home space","Lysandra",8.5,8,6.5,7.5,8
"11","Working from home space","Darren",9,8.5,6.5,7.5,8
"11","Working from home space","Total",26,24.5,19.5,22.5,24
"12","Landscaping","Darren",9.5,9,6.5,9,9.5
"12","Landscaping","Shaynna",9.5,9,6.5,9,9.5
"12","Landscaping","Neale",10,8.5,6.5,8.5,9.5
"12","Landscaping","Total",30,26.5,19.5,26.5,28.5
