"week","area","scores","kyle_leslie","leah_ash","kristy_brett","steph_gian","eliza_liberty"
"1","Studio Bathroom","Darren",8.5,8.5,7.5,7,8
"1","Studio Bathroom","Marty",8,7.5,7,7,7.5
"1","Studio Bathroom","Shaynna",8.5,8.5,6.5,6.5,7.5
"1","Studio Bathroom","Total",25,24.5,21,20.5,23
"2","Studio Bedroom","Darren",8,7.5,7.5,8,8
"2","Studio Bedroom","Marty",7.5,7,7,9,6.5
"2","Studio Bedroom","Shaynna",7.5,6.5,6.5,7.5,7.5
"2","Studio Bedroom","Total",23,21,21,24.5,21.5
"3","Work from Home Space","Darren",9,7.5,9,9,7.5
"3","Work from Home Space","Marty",8,7.5,7.5,8.5,7.5
"3","Work from Home Space","Shaynna",9,7.5,7.5,9,7.5
"3","Work from Home Space","Total",26,22.5,24,26.5,22.5
"4","Downstairs Bathroom","Darren",9,9,9.5,9,9.5
"4","Downstairs Bathroom","Marty",8,9,8.5,7.5,7.5
"4","Downstairs Bathroom","Shaynna",9,9,9.5,8.5,8
"4","Downstairs Bathroom","Total",26,28,27.5,25,25
"5","Living and Dining Room","Darren",6.5,9.5,8.5,8.5,9
"5","Living and Dining Room","Shaynna",6.5,9.5,8.5,8,9
"5","Living and Dining Room","Neale",7,10,8.5,9,9
"5","Living and Dining Room","Total",20,29,25.5,25.5,27
"6","Master Bedroom and WIR","Darren",7,8,9.5,9.5,7.5
"6","Master Bedroom and WIR","Marty",7.5,8,9,10,7.5
"6","Master Bedroom and WIR","Shaynna",6.5,7.5,9,9.5,7.5
"6","Master Bedroom and WIR","Total",21,23.5,27.5,29,22.5
"7","Kitchen and Laundry","Darren",8.5,8,9.5,7.5,9.5
"7","Kitchen and Laundry","Neale",8.5,8,9.5,7.5,9.5
"7","Kitchen and Laundry","Shaynna",8,7.5,9.5,7,10
"7","Kitchen and Laundry","Total",25,23.5,28.5,22,30
"8","Master Ensuite","Darren",7.5,8,9.5,7.5,9
"8","Master Ensuite","Marty",7.5,8,9,6.5,9.5
"8","Master Ensuite","Shaynna",7.5,7.5,9.5,7,9.5
"8","Master Ensuite","Total",22.5,23.5,28,21,28
"9","Double Bedroom for Kids","Darren",8.5,9.5,9.5,10,9
"9","Double Bedroom for Kids","Marty",7.5,9,8.5,10,8
"9","Double Bedroom for Kids","Shaynna",8,9.5,9.5,10,9.5
"9","Double Bedroom for Kids","Total",24,28,27.5,30,26.5
"10","Final Bathroom and
Re-do Room","Darren",7.5,8.5,6,8.5,9.5
"10","Final Bathroom and
Re-do Room","Neale",8,9.5,6.5,9,8.5
"10","Final Bathroom and
Re-do Room","Shaynna",8,9,6,8.5,9.5
"10","Final Bathroom and
Re-do Room","Total",23.5,27,18.5,26,27.5
"11","Backyard and Pool/Spa Area","Dave",8.5,9,6,9,7
"11","Backyard and Pool/Spa Area","Darren",8,9.5,7.5,9.5,7
"11","Backyard and Pool/Spa Area","Marty",8.5,9.5,7,9.5,6.5
"11","Backyard and Pool/Spa Area","Shaynna",8,9.5,7.5,10,6.5
"11","Backyard and Pool/Spa Area","Total",33,37.5,28,38,27
"12","Front Garden and Facade","Dave",8,9.5,8.5,9.5,8
"12","Front Garden and Facade","Darren",8.5,9.5,9,9.5,9
"12","Front Garden and Facade","Marty",8,9.5,8.5,9,8.5
"12","Front Garden and Facade","Shaynna",8,9.5,9,9.5,9
"12","Front Garden and Facade","Total",32.5,39,35,38.5,34.5
