"x1","front_room","shaynna","x6","x5","x5_2","x5_3"
1,"Front Room","John",5,5,5,6
1,"Front Room","Neale",6,5.5,5,6.5
1,"Front Room","Total",17,15.5,15,17.5
2,"Master Bedroom & Ensuite","Shaynna",7,8,7.5,6
2,"Master Bedroom & Ensuite","Darren",7.5,8,7.5,6
2,"Master Bedroom & Ensuite","Neale",8,8,8,6
2,"Master Bedroom & Ensuite","Total",22.5,24,23,18
3,"Guest Bedroom & Powder Room","Lisa",7.5,7.5,7,7
3,"Guest Bedroom & Powder Room","John",7,8,7.5,7.5
3,"Guest Bedroom & Powder Room","Neale",7,7.5,7.5,8
3,"Guest Bedroom & Powder Room","Total",21.5,23,22,NA
4,"Main Bathroom","Shaynna",7,7,8,8
4,"Main Bathroom","John",7,7,8,8
4,"Main Bathroom","Neale",7.5,7,9,8
4,"Main Bathroom","Total",21.5,21,NA,24
5,"Guest Bedroom & Hallway","Shaynna",9,6.5,7.5,6
5,"Guest Bedroom & Hallway","Darren",9,7,8,6.5
5,"Guest Bedroom & Hallway","Neale",9,6.5,7.5,6.5
5,"Guest Bedroom & Hallway","Total",27,20,23,19
6,"Rooftop Terrace & Utility Room","Shaynna",7.5,6,8,7
6,"Rooftop Terrace & Utility Room","John",7,6,7.5,6.5
6,"Rooftop Terrace & Utility Room","Neale",7,5,7,6
6,"Rooftop Terrace & Utility Room","Total",21.5,17,22.5,19.5
7,"Living & Dining Room","Shaynna",8,7.5,7.5,7.5
7,"Living & Dining Room","John",7,7.5,7.5,8
7,"Living & Dining Room","Neale",7,7.5,7.5,8
7,"Living & Dining Room","Total",NA,22.5,22.5,NA
8,"Kitchen","Shaynna",9.5,9,8.5,8.5
8,"Kitchen","John",9.5,9,8.5,8
8,"Kitchen","Neale",8.5,8,8,8
8,"Kitchen","Total",27.5,NA,25,24.5
9,"Room Saver","Shaynna",8,6.5,7.5,7.5
9,"Room Saver","John",9,6.5,7.5,8
9,"Room Saver","Neale",9,6,7,7
9,"Room Saver","Total",26,19,22,23.5
10,"Exterior","Shaynna",9.5,8.5,9,8
10,"Exterior","John",8.5,9,8,8
10,"Exterior","Neale",8.5,8,7.5,7.5
10,"Exterior","Total",26.5,25.5,24.5,23.5
