"week","area","scores","alisa_lysandra","matt_kim","bec_george","madi_jarrod","trixie_johno"
1,"1st Guest Bedroom & Ensuite","Darren",7,7,7,7,7.5
1,"1st Guest Bedroom & Ensuite","Shaynna",7,4,7.5,6.5,7
1,"1st Guest Bedroom & Ensuite","Neale",6,4,7.5,6.5,7
1,"1st Guest Bedroom & Ensuite","Total",20,15,22,20,21.5
2,"""His & Her"" Ensuite Bathrooms","Darren",9,8.5,9,8.5,9.5
2,"""His & Her"" Ensuite Bathrooms","Shaynna",9,8.5,9.5,8,8.5
2,"""His & Her"" Ensuite Bathrooms","Neale",9.5,8.5,9,7.5,8.5
2,"""His & Her"" Ensuite Bathrooms","Total",27.5,25.5,27.5,24,26.5
3,"Master Bedroom & Dressing Room","Darren",9.5,9.5,9,8.5,8.5
3,"Master Bedroom & Dressing Room","Shaynna",9,8.5,8.5,8,8.5
3,"Master Bedroom & Dressing Room","Neale",9.5,9,8.5,7.5,8
3,"Master Bedroom & Dressing Room","Total",28,27,26,24,25
4,"2nd Guest Bedroom & Ensuite","Darren",9.5,10,8,10,9
4,"2nd Guest Bedroom & Ensuite","Shaynna",8.5,9.5,8,9.5,8.5
4,"2nd Guest Bedroom & Ensuite","Neale",9,9.5,8,10,8.5
4,"2nd Guest Bedroom & Ensuite","Total",27,29,24,29.5,26
5,"Kitchen, Pantry & Bar","Darren",9.5,9.5,9,9.5,9.5
5,"Kitchen, Pantry & Bar","Shaynna",9,7.5,8.5,8,9
5,"Kitchen, Pantry & Bar","Neale",9.5,8.5,9.5,9,10
5,"Kitchen, Pantry & Bar","Total",28,25,27,26.5,28.5
6,"Living & Dining Room","Darren",8,9.5,7.5,7,9.5
6,"Living & Dining Room","Shaynna",8.5,10,7.5,7.5,9.5
6,"Living & Dining Room","Neale",8.5,10,8,7.5,9
6,"Living & Dining Room","Blockheads.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}^1",31.5,34.5,31,30,34.5
6,"Living & Dining Room","Total",56.5,64,54,52.5,62.5
7,"Foyer & Laundry Room","Darren",8.5,9,7,7,8.5
7,"Foyer & Laundry Room","Shaynna",8,7.5,7,7,7.5
7,"Foyer & Laundry Room","Neale",8,7,6,6,6
7,"Foyer & Laundry Room","Total",24.5,23.5,20,20,23
8,"Indoor Terrace & Re-do^3","Darren",9,9,8.5,8,5
8,"Indoor Terrace & Re-do^3","Shaynna",9.5,10,9,8,6
8,"Indoor Terrace & Re-do^3","Neale",8.5,10,9,8.5,5
8,"Indoor Terrace & Re-do^3","Total",27,29,26.5,24.5,16
9,"Rooftop Foyer & Exterior","Darren",9.5,8.5,8,8,8.5
9,"Rooftop Foyer & Exterior","Shaynna",10,8.5,8,8,8.5
9,"Rooftop Foyer & Exterior","Neale",10,9,7,7,8.5
9,"Rooftop Foyer & Exterior","Total",29.5,26,23,23,25.5
10,"Ground Level - Room 1","Darren",7.5,9,9,9.5,9
10,"Ground Level - Room 1","Shaynna",6.5,7.5,9.5,9,8
10,"Ground Level - Room 1","Neale",6.5,8,9,9.5,8.5
10,"Ground Level - Room 1","Total",20,24.5,27.5,28,25.5
11,"Ground Level - Room 2","Darren",10,9.5,8.5,9.5,8.5
11,"Ground Level - Room 2","Shaynna",10,9,9,8.5,8.5
11,"Ground Level - Room 2","Neale",10,9.5,8.5,9,8.5
11,"Ground Level - Room 2","Total",30,28,26,27,25.5
