"week","area","scores","chantelle_steve","kyal_kara","alisa_lysandra","brad_dale"
"1","1st Bedroom","Darren",7,8,8.5,7.5
"1","1st Bedroom","Shaynna",7.5,7.5,8,7.5
"1","1st Bedroom","Neale",6.5,7,8,7.5
"1","1st Bedroom","Total",21,22.5,24.5,22.5
"2","Downstairs Bathrooms, Laundry & Terrace","Darren",7,6.5,8,9.5
"2","Downstairs Bathrooms, Laundry & Terrace","Shaynna",7.5,6,7,9
"2","Downstairs Bathrooms, Laundry & Terrace","Neale",7,6,7,9.5
"2","Downstairs Bathrooms, Laundry & Terrace","Total",21.5,18.5,22,28
"3","2nd Bedroom","Darren",8.5,9,8.5,8
"3","2nd Bedroom","Shaynna",8,8,7,7
"3","2nd Bedroom","Neale",8,8.5,9,7
"3","2nd Bedroom","Total",24.5,25.5,24.5,22
"4","Upstairs Bathroom","Darren",7,10,6.5,8
"4","Upstairs Bathroom","Shaynna",7,10,5,8
"4","Upstairs Bathroom","Neale",7,10,7,8.5
"4","Upstairs Bathroom","Total",21,30,18.5,24.5
"5","Kitchen","Darren",8,9,9.5,8.5
"5","Kitchen","Shaynna",7.5,9.5,9.5,8.5
"5","Kitchen","Neale",7.5,9,9.5,7
"5","Kitchen","Total",23,27.5,28.5,24.5
"6","Living/Dining Room","Darren",9,8,9,8
"6","Living/Dining Room","Shaynna",9,8,9,8
"6","Living/Dining Room","Neale",9,8.5,9,8.5
"6","Living/Dining Room","Total",NA,24.5,27,24.5
"7","Master Bedroom & Ensuite","Darren",9,8,8.5,9.5
"7","Master Bedroom & Ensuite","Shaynna",10,7,8,9.5
"7","Master Bedroom & Ensuite","Neale",9,7.5,8.5,9.5
"7","Master Bedroom & Ensuite","Total",28,22.5,25,28.5
"8","Rooftop, Outside Terrace & Re-do Room1","Darren",7.5,9.5,8,9.5
"8","Rooftop, Outside Terrace & Re-do Room1","Shaynna",7,9.5,8.5,9.5
"8","Rooftop, Outside Terrace & Re-do Room1","Neale",7.5,9.5,8.5,9
"8","Rooftop, Outside Terrace & Re-do Room1","Total",22,28.5,25,28
"9","Challenge House - Reveal 1","Darren",8,7.5,8,7.5
"9","Challenge House - Reveal 1","Shaynna",9,9,9,9
"9","Challenge House - Reveal 1","Neale",7,9,7,9
"9","Challenge House - Reveal 1","Total",24,25.5,24,25.5
"10","Challenge House - Reveal 22","Darren",NA,NA,NA,NA
"10","Challenge House - Reveal 22","Shaynna",NA,NA,NA,NA
"10","Challenge House - Reveal 22","Neale",NA,NA,NA,NA
"10","Challenge House - Reveal 22","Total",64,69,64,69
